Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
531;A;A;Berardi;Sassuolo;26;21;5;26;21;5;100;100
6052;A;Pc;Hojlund;Napoli;25;24;1;25;24;1;188;188
7017;A;Pc;Douvikas;Como;24;8;16;24;7;17;76;73
6435;A;Pc;Krstovic;Atalanta;24;20;4;24;20;4;57;54
6572;A;Pc;Castro S.;Bologna;23;19;4;23;19;4;63;60
5734;A;A;Soulè;Roma;23;20;3;23;21;2;132;132
5637;A;Pc;Davis K.;Udinese;23;12;11;23;11;12;70;67
2137;A;Pc;Scamacca;Atalanta;22;19;3;22;19;3;92;89
7071;A;Pc;Esposito F.P.;Inter;22;7;15;22;7;15;41;41
2097;A;Pc;Kean;Fiorentina;21;33;-12;21;33;-12;150;150
7023;A;Pc;Pellegrino M.;Parma;20;13;7;20;12;8;71;68
6060;A;A;Laurientè;Sassuolo;20;15;5;20;15;5;39;39
505;A;A;Bonazzoli;Cremonese;19;1;18;19;1;18;20;20
6552;A;Pc;Orban G.;Verona;19;15;4;19;15;4;35;32
4728;A;A;Nkunku;Milan;18;20;-2;18;20;-2;42;42
2499;A;Pc;Vardy;Cremonese;18;15;3;18;15;3;40;37
5585;A;A;Malen;Roma;18;14;4;18;14;4;211;211
6669;A;Pc;Bonny;Inter;17;5;12;17;5;12;25;22
2061;A;Pc;Simeone;Torino;17;8;9;17;7;10;47;44
5455;A;A;Moreo;Pisa;17;5;12;17;5;12;20;20
7199;A;A;Kilicsoy;Cagliari;17;6;11;17;6;11;33;33
5995;A;A;De Ketelaere;Atalanta;16;22;-6;16;23;-7;69;69
4463;A;A;Esposito Se.;Cagliari;16;7;9;16;7;9;53;53
4371;A;A;Raspadori;Atalanta;16;13;3;16;13;3;55;55
2038;A;Pc;Pinamonti;Sassuolo;16;16;0;16;16;0;56;53
7162;A;A;Giovane;Napoli;16;1;15;16;1;15;15;15
4436;A;A;Cambiaghi;Bologna;15;11;4;15;11;4;21;21
4923;A;Pc;Colombo;Genoa;15;12;3;15;11;4;54;51
2531;A;Pc;Lukaku;Napoli;15;31;-16;15;31;-16;35;32
6646;A;A;Adams C.;Torino;15;14;1;15;14;1;30;30
5544;A;Pc;David;Juventus;14;27;-13;14;27;-13;52;49
6365;A;Pc;Ferguson E.;Roma;14;19;-5;14;19;-5;22;19
7313;A;Pc;Ratkov;Lazio;14;15;-1;14;15;-1;17;14
7316;A;Pc;Durosinmi;Pisa;14;15;-1;14;15;-1;47;44
6164;A;Pc;Vitinha O.;Genoa;13;12;1;13;11;2;28;25
2841;A;Pc;Vlahovic;Juventus;13;24;-11;13;24;-11;40;37
309;A;A;Dybala;Roma;13;26;-13;13;27;-14;50;50
6675;A;Pc;Dovbyk;Roma;13;21;-8;13;21;-8;12;10
2678;A;Pc;Fullkrug;Milan;13;13;0;13;13;0;31;28
6243;A;Pc;Borrelli;Cagliari;12;5;7;12;4;8;11;10
5506;A;A;Ekuban;Genoa;12;2;10;12;2;10;12;11
5500;A;"W;A";Cancellieri;Lazio;12;3;9;12;3;9;20;17
6001;A;"W;A";Banda;Lecce;12;5;7;12;5;7;17;20
7008;A;Pc;Gimenez;Milan;12;25;-13;12;25;-13;10;10
5918;A;A;Sulemana K.;Atalanta;11;9;2;11;9;2;11;11
7129;A;"W;A";Rodriguez Je.;Como;11;5;6;11;5;6;21;23
2489;A;A;Pedro;Lazio;11;13;-2;11;13;-2;23;23
7127;A;"W;A";Addai;Como;10;7;3;10;7;3;13;16
6822;A;A;Ekhator;Genoa;10;1;9;10;1;9;9;9
6556;A;A;Noslin;Lazio;10;7;3;10;7;3;12;12
5336;A;Pc;Nzola;Sassuolo;10;12;-2;10;12;-2;11;10
6380;A;"W;A";Solomon;Fiorentina;10;7;3;11;8;3;32;35
7001;A;"W;A";N'Dri;Lecce;9;5;4;9;5;4;10;12
6981;A;Pc;Vaz;Roma;9;10;-1;9;10;-1;15;12
4359;A;Pc;Piccoli;Fiorentina;8;17;-9;8;17;-9;15;12
6836;A;Pc;Meister;Pisa;7;2;5;7;2;5;13;10
6630;A;Pc;Mosquera;Verona;7;6;1;7;6;1;11;10
6439;A;Pc;Cheddira;Lecce;7;4;3;7;4;3;13;10
7252;A;Pc;Stulic;Lecce;7;13;-6;7;13;-6;12;10
441;A;Pc;Belotti;Cagliari;7;12;-5;6;11;-5;30;30
2832;A;"W;A";Boga;Juventus;7;6;1;8;7;1;14;17
6643;A;Pc;Dallinga;Bologna;6;10;-4;6;10;-4;12;10
7128;A;"W;A";Kuhn;Como;6;14;-8;6;15;-9;11;14
6827;A;A;Njie;Torino;6;1;5;6;1;5;4;4
7249;A;Pc;Buksa;Udinese;6;9;-3;6;9;-3;9;9
6314;A;Pc;Openda;Juventus;6;22;-16;6;22;-16;13;10
7347;A;A;Bowie;Verona;6;6;0;6;6;0;12;12
6895;A;"W;A";Dominguez B.;Bologna;5;9;-4;5;9;-4;12;14
479;A;Pc;Sanabria;Cremonese;5;7;-2;5;6;-1;10;10
608;A;Pc;Zapata D.;Torino;5;20;-15;5;20;-15;14;11
6159;A;A;Sarr A.;Verona;5;8;-3;5;8;-3;8;8
7349;A;Pc;Kulenovic;Torino;5;5;0;5;5;0;12;10
5672;A;Pc;Dia;Lazio;4;20;-16;4;20;-16;11;10
5471;A;Pc;Djuric;Cremonese;4;9;-5;4;8;-4;11;10
7344;A;Pc;Stojilkovic;Pisa;4;4;0;4;4;0;11;11
6967;A;"W;A";Diao;Como;3;17;-14;3;18;-15;14;17
6519;A;Pc;Camarda;Lecce;3;12;-9;3;12;-9;8;8
7183;A;A;Aboukhlal;Torino;3;9;-6;3;9;-6;9;9
313;A;Pc;Morata;Como;3;18;-15;3;18;-15;10;10
247;A;Pc;Pavoletti;Cagliari;2;1;1;2;1;1;3;3
6207;A;"W;A";Almqvist;Parma;2;4;-2;2;4;-2;8;10
7161;A;Pc;Bayo V.;Udinese;2;4;-2;2;4;-2;8;8
6555;A;Pc;Moumbagna;Cremonese;2;6;-4;2;6;-4;9;9
7317;A;Pc;Trepy;Cagliari;2;1;1;2;1;1;1;1
5515;A;A;Okereke;Cremonese;1;5;-4;1;5;-4;3;3
2012;A;Pc;Milik;Juventus;1;1;0;1;1;0;5;3
7158;A;Pc;Moro L.;Sassuolo;1;1;0;1;1;0;1;1
7213;A;Pc;Frigan;Parma;1;7;-6;1;6;-5;7;7
7262;A;A;Balentien;Milan;1;1;0;1;1;0;1;1
7272;A;Pc;Gueye;Udinese;1;1;0;1;1;0;1;1
7277;A;Pc;Arena A.;Roma;1;1;0;1;1;0;1;1
7309;A;Pc;Isaac;Verona;1;1;0;1;1;0;1;1
7338;A;A;Albarracin;Cagliari;1;1;0;1;1;0;1;1
7342;A;Pc;Elphege;Parma;1;1;0;1;1;0;1;1
