Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
5514;D;"Ds;Dc";Vasquez;Genoa;13;4;9;13;5;8;17;20
6217;D;Dc;Bisseck;Inter;13;4;9;13;4;9;27;27
2169;D;"Ds;Dc";Rodriguez R.;Torino;12;8;4;11;9;2;25;27
2816;D;"Dd;E";Di Lorenzo;Napoli;12;18;-6;12;18;-6;55;55
4751;D;Dc;Tomori;Milan;12;13;-1;12;13;-1;75;75
5526;D;Dc;Scalvini;Atalanta;12;9;3;12;9;3;40;40
393;D;Dc;Luperto;Empoli;11;8;3;11;8;3;40;40
2296;D;Dc;Mancini;Roma;11;11;0;11;11;0;60;60
4210;D;Dc;Mina;Cagliari;11;8;3;11;8;3;25;25
5867;D;"Dd;E";Gendrey;Lecce;11;6;5;11;6;5;26;30
6066;D;"Dd;Dc";Posch;Bologna;11;16;-5;11;18;-7;35;40
322;D;Dc;De Vrij;Inter;10;6;4;10;6;4;22;22
554;D;E;Zappacosta;Atalanta;10;15;-5;10;14;-4;33;33
1852;D;E;Spinazzola;Roma;10;10;0;10;9;1;20;20
4177;D;"Dd;Dc";Pavard;Inter;10;14;-4;10;15;-5;70;75
4237;D;"Dd;Ds;Dc";Danilo;Juventus;10;15;-5;10;18;-8;42;45
4502;D;"Ds;E";Gallo;Lecce;10;5;5;10;5;5;23;23
5354;D;"Ds;E";Ruggeri;Atalanta;10;3;7;11;4;7;42;42
5520;D;"Dd;Ds;E";Cambiaso;Juventus;10;5;5;10;6;4;46;55
5555;D;"Ds;E";Kamara H.;Udinese;10;6;4;10;6;4;26;26
5831;D;Dc;Gatti;Juventus;10;6;4;10;6;4;52;52
6042;D;Dc;Lucumi';Bologna;10;7;3;10;7;3;23;23
6235;D;"Dd;Ds;E";Kayode;Fiorentina;10;1;9;11;2;9;25;30
252;D;"Ds;E";Biraghi;Fiorentina;9;10;-1;9;10;-1;29;29
327;D;"Dd;Dc";Patric;Lazio;9;5;4;9;6;3;20;20
357;D;"Dd;E";Calabria;Milan;9;9;0;9;9;0;25;25
464;D;"Dd;Ds;E";Florenzi;Milan;9;3;6;9;4;5;5;7
2006;D;"Dd;E";Lirola;Frosinone;9;3;6;9;3;6;13;13
2640;D;"Ds;Dc";Kolasinac;Atalanta;9;9;0;9;10;-1;33;38
4409;D;Dc;Rrahmani;Napoli;9;14;-5;9;14;-5;38;38
4772;D;"Ds;E";Angelino;Roma;9;8;1;9;8;1;33;33
6148;D;"Ds;E";Kristiansen;Bologna;9;6;3;9;6;3;24;24
294;D;Dc;Rugani;Juventus;8;3;5;8;3;5;14;14
487;D;"Dd;E";De Silvestri;Bologna;8;2;6;8;2;6;8;8
787;D;Dc;Djimsiti;Atalanta;8;7;1;8;7;1;33;33
2285;D;Dc;Bani;Genoa;8;3;5;8;3;5;24;24
4385;D;E;Lazaro;Torino;8;4;4;8;4;4;24;24
4401;D;Dc;Gabbia;Milan;8;2;6;8;2;6;18;18
4426;D;"Dd;E";Toljan;Sassuolo;8;6;2;8;6;2;24;24
4461;D;"Dd;E";Zappa;Cagliari;8;6;2;8;6;2;21;21
4904;D;Dc;Mari';Monza;8;9;-1;8;9;-1;26;26
5838;D;"Dd;Ds;E";Birindelli;Monza;8;5;3;8;6;2;13;15
5847;D;Dc;Bijol;Udinese;8;9;-1;8;9;-1;27;27
5856;D;"Dd;E";Sambia;Salernitana;8;4;4;8;4;4;10;10
6202;D;Dc;Beukema;Bologna;8;6;2;8;6;2;40;40
6230;D;Dc;Dossena;Cagliari;8;6;2;8;6;2;25;25
76;D;Dc;Romagnoli S.;Frosinone;7;5;2;7;5;2;13;13
791;D;"Dd;Ds;E";Sabelli;Genoa;7;4;3;7;5;2;18;22
2653;D;"Ds;E";Lykogiannis;Bologna;7;5;2;7;5;2;12;12
2769;D;Dc;Magnani;Verona;7;3;4;7;3;4;10;10
4245;D;Dc;Smalling;Roma;7;15;-8;7;15;-8;20;20
4421;D;"Ds;E";Augello;Cagliari;7;5;2;7;5;2;11;11
4952;D;Dc;Monterisi;Frosinone;7;1;6;7;1;6;22;22
5239;D;Dc;Llorente D.;Roma;7;6;1;7;6;1;22;22
5603;D;Dc;Pongracic;Lecce;7;5;2;7;5;2;23;23
5677;D;Dc;Perez N.;Udinese;7;9;-2;7;9;-2;23;23
5678;D;E;Holm;Atalanta;7;10;-3;7;9;-2;25;25
5982;D;"Dd;E";Spence;Genoa;7;5;2;7;5;2;13;13
6041;D;Dc;Schuurs;Torino;7;14;-7;7;14;-7;10;10
6047;D;"Dd;E";Ehizibue;Udinese;7;5;2;7;5;2;6;6
6257;D;"Ds;E";Dorgu;Lecce;7;1;6;7;1;6;26;26
459;D;Dc;Manolas;Salernitana;6;6;0;6;6;0;12;12
460;D;Dc;Romagnoli;Lazio;6;13;-7;6;13;-7;32;32
2104;D;"Dd;E";Bereszynski;Empoli;6;3;3;6;3;3;11;11
2188;D;"Dd;Ds;E";Marusic;Lazio;6;7;-1;6;8;-2;21;24
2263;D;"Dd;E";Lazzari;Lazio;6;5;1;6;5;1;24;24
2593;D;"Ds;E";Martin;Genoa;6;8;-2;6;8;-2;20;20
4317;D;Dc;N'Dicka;Roma;6;9;-3;6;9;-3;35;35
4378;D;"Ds;Dc";Ranieri L.;Fiorentina;6;5;1;6;6;0;23;28
4530;D;"Ds;E";Kyriakopoulos;Monza;6;9;-3;6;9;-3;17;17
4982;D;Dc;Erlic;Sassuolo;6;5;1;6;5;1;15;15
4994;D;E;Vojvoda;Torino;6;6;0;6;5;1;13;13
5067;D;E;Bakker;Atalanta;6;12;-6;3;11;-8;10;10
5481;D;"Dd;Ds;E";Mazzocchi;Napoli;6;12;-6;7;14;-7;20;25
5527;D;"Dd;E";Zanoli;Salernitana;6;4;2;6;4;2;15;15
5750;D;Dc;Ostigard;Napoli;6;4;2;6;4;2;14;14
5764;D;Dc;Coppola D.;Verona;6;2;4;6;2;4;13;13
5833;D;Dc;Gila;Lazio;6;1;5;6;1;5;23;23
5851;D;"Ds;E";Doig;Sassuolo;6;11;-5;6;11;-5;23;23
5862;D;"Ds;E";Valeri;Frosinone;6;6;0;6;6;0;15;15
6046;D;Dc;Hien;Atalanta;6;8;-2;6;8;-2;28;28
6245;D;"Dd;Dc";Vogliacco;Genoa;6;5;1;6;6;0;4;4
6432;D;"Dd;Ds;E";Pierozzi;Salernitana;6;1;5;6;2;4;8;10
6485;D;Dc;Kristensen T.;Udinese;6;2;4;6;2;4;18;18
49;D;"Ds;Dc";Masina;Torino;5;6;-1;5;7;-2;11;14
697;D;E;Cuadrado;Inter;5;9;-4;5;8;-3;12;12
1895;D;Dc;Ferrari G.;Sassuolo;5;4;1;5;4;1;12;12
2180;D;"Dd;E";Karsdorp;Roma;5;2;3;5;2;3;25;25
2405;D;Dc;Boateng J.;Salernitana;5;7;-2;5;7;-2;13;13
4374;D;Dc;Walukiewicz;Empoli;5;3;2;5;3;2;11;11
4925;D;"Ds;Dc";Carboni A.;Monza;5;3;2;5;4;1;16;17
4958;D;"Ds;Dc";Caldirola;Monza;5;7;-2;5;8;-3;16;18
5010;D;Dc;Ismajli;Empoli;5;5;0;5;5;0;16;16
5332;D;"Ds;E";Bastoni S.;Empoli;5;8;-3;5;8;-3;13;13
5532;D;"Ds;E";Bradaric;Salernitana;5;7;-2;5;7;-2;21;21
5695;D;"Ds;E";Haps;Genoa;5;2;3;5;2;3;8;8
5718;D;Dc;Viti;Sassuolo;5;6;-1;5;6;-1;7;7
5739;D;"Dd;Dc";De Winter;Genoa;5;3;2;5;3;2;15;19
5804;D;"Ds;E";Cacace;Empoli;5;3;2;5;3;2;14;14
5835;D;"Dd;Dc";Baschirotto;Lecce;5;10;-5;5;11;-6;25;27
5840;D;"Ds;E";Olivera;Napoli;5;7;-2;5;7;-2;25;25
6039;D;"Ds;Dc";Cabal;Verona;5;3;2;5;4;1;10;10
6211;D;"Ds;E";Zemura;Udinese;5;5;0;5;5;0;19;19
6433;D;Dc;Huijsen;Roma;5;1;4;5;1;4;23;23
140;D;"Dd;Ds;E";Hysaj;Lazio;4;7;-3;4;8;-4;15;20
226;D;Dc;Izzo;Monza;4;8;-4;4;8;-4;18;18
253;D;"Dd;Ds;Dc";D'Ambrosio;Monza;4;7;-3;4;9;-5;20;20
256;D;"Ds;Dc";Juan Jesus;Napoli;4;5;-1;4;6;-2;20;22
662;D;"Ds;Dc";Alex Sandro;Juventus;4;6;-2;4;7;-3;16;20
695;D;Dc;Toloi;Atalanta;4;9;-5;4;9;-5;13;13
729;D;"Dd;E";Pereira P.;Monza;4;1;3;4;1;3;14;14
2016;D;Dc;Fazio;Salernitana;4;2;2;4;2;2;12;12
2130;D;E;Hateboer;Atalanta;4;7;-3;4;6;-2;15;10
2164;D;Dc;Milenkovic;Fiorentina;4;10;-6;4;10;-6;23;23
2252;D;"Ds;Dc";Marchizza;Frosinone;4;5;-1;4;6;-2;17;20
2633;D;Dc;Kjaer;Milan;4;4;0;4;4;0;18;18
2728;D;"Ds;E";Pellegrini Lu.;Lazio;4;4;0;4;4;0;12;12
4432;D;Dc;Okoli;Frosinone;4;2;2;4;2;2;17;17
4493;D;Dc;Dawidowicz;Verona;4;4;0;4;4;0;14;14
4657;D;"Dd;E";Celik;Roma;4;3;1;4;3;1;7;5
4802;D;"Ds;E";Vinagre;Verona;4;4;0;4;4;0;10;10
4897;D;Dc;Pirola;Salernitana;4;5;-1;4;5;-1;13;13
5449;D;"Ds;E";Parisi;Fiorentina;4;8;-4;4;8;-4;18;18
5812;D;"Dd;E";Terracciano F.;Milan;4;3;1;4;3;1;14;14
5848;D;"Dd;E";Ebosele;Udinese;4;4;0;4;4;0;22;22
6231;D;"Ds;E";Azzi;Cagliari;4;5;-1;4;5;-1;9;9
6256;D;"Dd;E";Ferreira J.;Udinese;4;1;3;4;1;3;12;12
6576;D;"Dd;E";Centonze;Verona;4;4;0;4;4;0;6;6
142;D;"Ds;E";Mario Rui;Napoli;3;10;-7;3;10;-7;25;25
770;D;"Ds;E";Pezzella Giu.;Empoli;3;5;-2;3;5;-2;5;5
2192;D;Dc;Bonifazi;Frosinone;3;3;0;3;3;0;12;12
2869;D;Dc;Djidji;Torino;3;6;-3;3;6;-3;16;16
4976;D;"Dd;Dc";Kalulu;Milan;3;7;-4;3;8;-5;12;12
5498;D;Dc;Casale;Lazio;3;10;-7;3;10;-7;18;18
6055;D;Dc;Thiaw;Milan;3;10;-7;3;10;-7;24;24
6189;D;"Dd;E";Missori;Sassuolo;3;1;2;3;1;2;1;1
6220;D;"Dd;E";Kristensen;Roma;3;9;-6;3;9;-6;15;15
6426;D;"Dd;E";Pedersen;Sassuolo;3;7;-4;3;7;-4;17;17
660;D;Dc;Gyomber;Salernitana;2;6;-4;2;6;-4;11;11
2174;D;"Dd;Ds;E";Venuti;Lecce;2;4;-2;2;5;-3;7;7
4263;D;Dc;Kabasele;Udinese;2;5;-3;2;5;-3;5;5
4934;D;Dc;Lovato;Torino;2;4;-2;2;4;-2;15;15
5406;D;"Dd;E";Di Pardo;Cagliari;2;2;0;2;2;0;3;3
5480;D;"Dd;E";Ebuehi;Empoli;2;11;-9;2;11;-9;13;15
5533;D;"Dd;Ds;Dc";Djalo';Juventus;2;5;-3;4;7;-3;13;18
5701;D;Dc;Obert;Cagliari;2;5;-3;2;5;-3;6;6
5747;D;Dc;Tressoldi;Sassuolo;2;5;-3;2;5;-3;8;8
5757;D;Dc;Cittadini;Genoa;2;3;-1;2;3;-1;8;8
5885;D;"Dd;E";Dodo';Fiorentina;2;8;-6;2;8;-6;15;15
6238;D;"Dd;Ds;Dc";Oyono;Frosinone;2;1;1;2;1;1;14;18
6244;D;Dc;Matturro;Genoa;2;1;1;2;1;1;2;2
6438;D;"Dd;Dc";Hatzidiakos;Cagliari;2;5;-3;2;5;-3;7;7
6444;D;Dc;Bonfanti;Atalanta;2;1;1;2;1;1;1;1
6460;D;Dc;Pellegrino;Salernitana;2;1;1;2;1;1;3;3
6464;D;Dc;Wieteska;Cagliari;2;5;-3;2;5;-3;9;9
6465;D;"Ds;Dc";Touba;Lecce;2;3;-1;2;3;-1;5;5
6496;D;"Ds;E";Bartesaghi;Milan;2;1;1;2;1;1;2;2
6533;D;Dc;Giannetti L.;Udinese;2;4;-2;2;4;-2;24;24
6574;D;Dc;Pasalidis;Salernitana;2;3;-1;2;3;-1;9;9
139;D;Dc;Dermaku;Lecce;1;1;0;1;1;0;1;1
144;D;Dc;Tonelli;Empoli;1;1;0;1;1;0;2;2
358;D;"Dd;Ds;E";De Sciglio;Juventus;1;3;-2;1;3;-2;6;6
581;D;"Dd;E";Faraoni;Fiorentina;1;9;-8;1;9;-8;20;20
2181;D;Dc;Palomino;Atalanta;1;7;-6;1;7;-6;8;8
2446;D;"Dd;Dc";Donati;Monza;1;1;0;1;1;0;3;3
2737;D;Dc;Bettella;Monza;1;1;0;1;1;0;1;1
4495;D;Dc;Kumbulla;Sassuolo;1;3;-2;1;3;-2;13;13
4891;D;Dc;Soumaoro;Bologna;1;4;-3;1;4;-3;5;5
5424;D;"Dd;Dc";Amey;Bologna;1;1;0;1;1;0;1;2
5994;D;"Ds;Dc";Ebosse;Udinese;1;3;-2;1;4;-3;3;4
6021;D;"Dd;Dc";Abankwah;Udinese;1;1;0;1;1;0;1;1
6396;D;Dc;Natan;Napoli;1;9;-8;1;9;-8;13;13
6407;D;"Dd;Ds;E";Corazza;Bologna;1;1;0;1;1;0;5;8
6411;D;Dc;Mateus Lusuardi;Frosinone;1;1;0;1;1;0;1;1
6430;D;Dc;Kalaj;Frosinone;1;1;0;1;1;0;1;1
6474;D;Dc;Sazonov;Torino;1;3;-2;1;3;-2;7;7
6495;D;Dc;Comuzzo;Fiorentina;1;1;0;1;1;0;1;1
6521;D;Dc;Simic J.;Milan;1;1;0;1;1;0;1;1
6531;D;"Dd;Ds;E";Jimenez A.;Milan;1;1;0;1;1;0;5;5
6537;D;"Dd;Dc";Goglichidze;Empoli;1;1;0;1;1;0;1;1
6551;D;Dc;Ilic M.;Bologna;1;3;-2;1;3;-2;5;5
2194;C;"M;C";Calhanoglu;Inter;30;16;14;30;18;12;330;330
5800;C;"T;A";Gudmundsson A.;Genoa;30;14;16;30;13;17;330;330
2423;C;"T;A";Pulisic;Milan;29;18;11;29;17;12;300;300
5685;C;"C;T";Koopmeiners;Atalanta;29;24;5;29;24;5;300;300
5995;C;T;De Ketelaere;Atalanta;26;7;19;26;7;19;270;270
2167;C;W;Orsolini;Bologna;23;21;2;23;20;3;200;200
536;C;W;Politano;Napoli;22;14;8;22;13;9;85;85
5878;C;"C;T";Colpani;Monza;22;9;13;22;9;13;105;105
332;C;W;Candreva;Salernitana;21;15;6;20;14;6;60;60
530;C;"C;T";Pellegrini Lo.;Roma;21;16;5;21;16;5;175;175
2848;C;C;Frattesi;Inter;21;17;4;21;17;4;55;55
367;C;"C;T";Bonaventura;Fiorentina;20;14;6;20;14;6;90;95
2077;C;T;Pasalic;Atalanta;20;14;6;20;13;7;130;130
2085;C;"C;T";Luis Alberto;Lazio;20;21;-1;20;22;-2;80;80
5858;C;"C;T";Ferguson;Bologna;20;17;3;20;18;2;50;50
2529;C;"C;T";Mkhitaryan;Inter;19;13;6;19;13;6;40;40
5119;C;"C;T";Samardzic;Udinese;19;16;3;19;16;3;55;55
6206;C;C;Fabbian;Bologna;19;5;14;19;5;14;45;45
181;C;"M;C";Vecino;Lazio;18;6;12;18;7;11;27;30
5001;C;"T;A";Miranchuk;Atalanta;18;10;8;18;10;8;40;40
5792;C;"C;T";Ederson D.s.;Atalanta;18;10;8;18;10;8;51;51
335;C;"W;A";Felipe Anderson;Lazio;17;23;-6;17;23;-6;49;49
1870;C;C;Barella;Inter;17;20;-3;17;20;-3;57;57
6061;C;"W;T";Oudin;Lecce;17;6;11;17;5;12;30;30
632;C;"W;A";Zaccagni;Lazio;16;28;-12;16;28;-12;120;120
1976;C;"M;C";Mazzitelli;Frosinone;16;4;12;16;5;11;33;38
4199;C;C;Loftus-Cheek;Milan;16;13;3;16;13;3;65;65
4364;C;"C;T";Gaetano;Cagliari;16;3;13;16;3;13;44;44
5791;C;"E;M";Frendrup;Genoa;16;5;11;15;7;8;35;40
302;C;"C;W";Pereyra;Udinese;15;13;2;15;14;1;40;40
440;C;C;Viola;Cagliari;15;2;13;15;2;13;24;26
779;C;"M;C";Cristante;Roma;15;9;6;14;10;4;34;40
2379;C;C;Rabiot;Juventus;15;22;-7;15;22;-7;65;65
4947;C;"M;C";Brescianini;Frosinone;15;5;10;15;6;9;24;29
5919;C;W;Tchaouna;Salernitana;15;3;12;15;2;13;45;45
2741;C;"C;T";Pessina;Monza;14;14;0;14;14;0;43;43
4892;C;W;Saelemaekers;Bologna;14;5;9;14;5;9;42;42
4896;C;"T;A";Maldini;Monza;14;5;9;14;5;9;35;35
6106;C;"T;A";Carboni V.;Monza;14;2;12;14;2;12;24;24
6224;C;"M;C";Reijnders;Milan;14;12;2;14;13;1;28;35
795;C;"W;A";El Shaarawy;Roma;13;16;-3;13;15;-2;39;39
2818;C;"M;C";Bennacer;Milan;13;10;3;13;11;2;30;35
4427;C;T;Malinovskyi;Genoa;13;17;-4;13;16;-3;23;23
4973;C;C;Mckennie;Juventus;13;8;5;13;7;6;45;45
5687;C;"W;T";Vlasic;Torino;13;18;-5;13;19;-6;50;55
5688;C;"M;C";Harroui;Frosinone;13;4;9;13;5;8;25;30
5844;C;"C;T";Thorstvedt;Sassuolo;13;6;7;13;6;7;43;43
6486;C;"C;W;T";Suslov;Verona;13;3;10;14;5;9;40;45
526;C;C;Duncan;Fiorentina;12;5;7;12;4;8;31;31
4285;C;"M;C";Arthur Melo;Fiorentina;12;7;5;12;8;4;26;31
6252;C;"C;T";Folorunsho;Verona;12;2;10;12;2;10;41;41
152;C;"C;T";Zielinski;Napoli;11;20;-9;11;20;-9;30;30
170;C;"M;C";Badelj;Genoa;11;5;6;11;6;5;23;28
1933;C;"M;C";Mandragora;Fiorentina;11;9;2;11;10;1;14;19
2172;C;T;Barak;Fiorentina;11;12;-1;10;11;-1;20;15
4186;C;"C;T";Guendouzi;Lazio;11;13;-2;11;12;-1;29;29
4404;C;"M;C";Thorsby;Genoa;11;9;2;11;11;0;15;20
4514;C;"E;C";Nandez;Cagliari;11;7;4;11;8;3;27;30
5007;C;C;Ilic;Torino;11;12;-1;11;12;-1;20;20
5719;C;"M;C";Asllani;Inter;11;4;7;11;5;6;13;15
6573;C;"C;T";Alcaraz;Juventus;11;14;-3;11;14;-3;27;27
236;C;"E;W";Lazovic;Verona;10;15;-5;10;15;-5;25;25
468;C;"M;C";Paredes;Roma;10;7;3;10;8;2;33;38
788;C;"M;C";Freuler;Bologna;10;7;3;10;8;2;27;32
4142;C;"C;T";Aouar;Roma;10;15;-5;10;15;-5;23;23
4377;C;"C;T";Castrovilli;Fiorentina;10;10;0;10;9;1;20;20
4970;C;W;Messias;Genoa;10;9;1;10;8;2;23;23
5823;C;"T;A";Baldanzi;Roma;10;15;-5;11;14;-3;25;25
6218;C;"W;T;A";Oristanio;Cagliari;10;4;6;10;7;3;26;30
827;C;"M;C";Locatelli;Juventus;9;12;-3;9;13;-4;28;33
2117;C;"C;T";Kastanos;Salernitana;9;7;2;9;7;2;13;13
2392;C;"M;C";Walace;Udinese;9;7;2;9;8;1;22;25
4342;C;"C;T";Duda;Verona;9;6;3;9;6;3;24;24
4856;C;"W;A";Chukwueze;Milan;9;19;-10;9;18;-9;35;35
4988;C;C;Maggiore;Salernitana;9;3;6;9;3;6;18;18
5564;C;"W;A";Ndoye;Bologna;9;12;-3;9;11;-2;29;29
6112;C;W;Iling Junior;Juventus;9;4;5;9;3;6;23;23
6225;C;"M;C";El Azzouzi;Bologna;9;1;8;9;1;8;23;28
22;C;"M;C";De Roon;Atalanta;8;11;-3;8;12;-4;28;33
801;C;"M;C";Gagliardini;Monza;8;6;2;8;7;1;25;30
2839;C;W;Sottil;Fiorentina;8;8;0;8;8;0;21;21
4287;C;"M;C";Lobotka;Napoli;8;13;-5;8;14;-6;30;40
4376;C;C;Zurkowski;Empoli;8;7;1;8;7;1;30;30
4658;C;W;Ikone';Fiorentina;8;13;-5;8;12;-4;27;27
4711;C;"E;W";Kostic;Juventus;8;15;-7;8;15;-7;25;25
4965;C;"M;C";Marin;Empoli;8;8;0;8;9;-1;17;20
5451;C;T;Bajrami;Sassuolo;8;13;-5;8;12;-4;20;20
5511;C;C;Matheus Henrique;Sassuolo;8;9;-1;9;8;1;26;26
5850;C;"C;T";Lovric;Udinese;8;15;-7;8;15;-7;25;25
5948;C;"C;T";Kamada;Lazio;8;15;-7;8;15;-7;37;37
6212;C;C;Zarraga;Udinese;8;3;5;8;3;5;15;15
6458;C;"C;T";Serdar;Verona;8;5;3;8;5;3;15;15
470;C;"M;C";Strootman;Genoa;7;6;1;7;7;0;15;15
4220;C;"M;C";Zambo Anguissa;Napoli;7;14;-7;7;15;-8;22;25
5093;C;"W;T";Reinier;Frosinone;7;8;-1;7;8;-1;22;25
5267;C;"M;C";Racic;Sassuolo;7;4;3;7;5;2;8;10
5397;C;"C;T";Kovalenko;Empoli;7;4;3;7;4;3;12;12
5423;C;C;Bove;Roma;7;5;2;7;5;2;23;23
5453;C;"M;C";Ricci S.;Torino;7;13;-6;7;14;-7;24;29
5784;C;"C;W;T";Aebischer;Bologna;7;5;2;7;5;2;16;16
5875;C;T;Adli;Milan;7;1;6;7;1;6;10;5
5999;C;C;Gonzalez J.;Lecce;7;7;0;7;7;0;17;17
6054;C;"M;C";Moro N.;Bologna;7;6;1;7;6;1;16;20
6424;C;"M;C";Prati;Cagliari;7;2;5;7;3;4;15;15
6481;C;"C;T";Payero;Udinese;7;5;2;7;5;2;34;34
4459;C;"M;C";Rovella;Lazio;6;5;1;6;6;0;23;28
4992;C;"W;A";Gyasi;Empoli;6;8;-2;6;8;-2;18;18
5735;C;T;Volpato;Sassuolo;6;3;3;6;3;3;14;14
5869;C;"M;C";Blin;Lecce;6;6;0;6;6;0;11;11
5992;C;"C;T";Bondo;Monza;6;1;5;6;1;5;1;1
